"0","Alimento","Calorias","Hidratos","Proteinas","Grasas","Fibras"
"173","JUREL","127","1","16","7","0"
"174","KETCHUP","98","24","2","0","0"
"175","KIWI","52","11","1","1","4"
"176","LANGOSTA COCIDA","119","0","22","3","0"
"177","LECHE CABRA","66","5","3","4","0"
"178","LECHE DESNATADA POLVO","374","53","35","1","0"
"179","LECHE ENTERA POLVO","500","37","25","26","0"
"180","LECHE DE MUJER","69","7","1","4","0"
"181","LECHE DE VACA","36","5","4","0","0"
"182","LECHE VACA ENTERA","60","5","3","3","0"
"183","LECHE VACA ESTÉRIL","60","5","3","3","0"
"184","LECHE VACA SEMIDESNATADA","49","5","3","2","0"
"185","LECHE VACA U.H.T.","60","5","3","3","0"
"186","LECHE CONDENSADA AZUCARADA","325","52","8","9","0"
"187","LECHE CONDENSADA M.G. 7 50 %","137","10","6","8","0"
"188","LECHUGA","12","1","1","0","2"
"189","LENGUADO","81","0","17","1","0"
"190","LENTEJAS","304","53","24","1","0"
"191","LEVADURA CERVEZA SECA","219","0","48","4","0"
"192","LIMÓN","15","3","1","0","5"
"193","LIMONADA ENVASADA","21","6","0","0","0"
"194","LOMBARDA","21","4","2","0","2"
"195","LOMO CERDO EMBUCHADO","386","0","50","21","0"
"196","MACARRONES","370","79","14","2","3"
"197","MAGDALENA","397","42","6","23","1"
"198","MAÍZ DULCE MAZORCA","123","23","4","2","5"
"199","MANDARINAS","34","8","1","0","2"
"200","MANHATTAN COCKTAIL","164","8","0","0","0"
"201","MANTECA CERDO","891","0","0","99","0"
"202","MANTEQUILLA","740","0","0","82","0"
"203","MANZANA","46","12","0","0","2"
"204","MARGARINA INDUSTRIAL","746","0","0","80","0"
"205","MARGARINA VEGETAL","746","0","0","80","0"
"206","MARTINI","140","0","0","0","0"
"207","MAYONESA","718","0","2","79","0"
"208","MAZAPÁN","443","49","9","25","6"
"209","MEJILLONES","66","0","12","2","0"
"210","MELOCOTÓN","37","9","1","0","0"
"211","MELÓN","24","5","1","0","0"
"212","MEMBRILLO","236","59","0","0","0"
